names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
(ATTC)n#Simple_repeat#Simple_repeat,6.830215,0.9404512,8.478740078726604e-12,2.6262897393855654e-09,(ATTC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
tRNA-Ser-TCA(m)#tRNA#tRNA,6.51646,0.75909424,7.198598898921595e-11,1.7838128071527716e-08,tRNA-Ser-TCA(m)#tRNA#tRNA,tRNA,tRNA
L1MA3#LINE#L1,5.955354,0.37473148,2.5950947587237303e-09,4.946649855474926e-07,L1MA3#LINE#L1,LINE,L1
(CTTTTT)n#Simple_repeat#Simple_repeat,5.697467,0.7641617,1.2160071292709912e-08,2.1523326188096543e-06,(CTTTTT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MER65-int#LTR#ERV1,5.339342,0.45431837,9.328441789877402e-08,1.3597575738421295e-05,MER65-int#LTR#ERV1,LTR,ERV1
L1M4c#LINE#L1,5.32056,0.3840311,1.0344834299578047e-07,1.424138855241911e-05,L1M4c#LINE#L1,LINE,L1
AluSq4#SINE#Alu,4.3463235,0.35716647,1.384382134776749e-05,0.0013721995719907136,AluSq4#SINE#Alu,SINE,Alu
(GCT)n#Simple_repeat#Simple_repeat,4.0355587,0.770586,5.4472497707059685e-05,0.004654581010968755,(GCT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
MER58C#DNA#hAT-Charlie,3.9534125,0.37382767,7.704444671261536e-05,0.0061585851275438985,MER58C#DNA#hAT-Charlie,DNA,hAT-Charlie
LSU-rRNA_Hsa#rRNA#rRNA,3.7320943,0.22583291,0.00018989433565828025,0.013444518964606241,LSU-rRNA_Hsa#rRNA#rRNA,rRNA,rRNA
G-rich#Low_complexity#Low_complexity,3.6737819,0.27105606,0.0002389866974916172,0.01615691477682001,G-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
Tigger19b#DNA#TcMar-Tigger,3.4837523,0.3806193,0.0004944368865621678,0.03141575910002697,Tigger19b#DNA#TcMar-Tigger,DNA,TcMar-Tigger
LTR8#LTR#ERV1,3.4226787,0.4303877,0.0006200731187353263,0.036584314005384255,LTR8#LTR#ERV1,LTR,ERV1
LTR81A#LTR#Gypsy,-3.3601768,-0.48734182,0.0007789261471048632,0.04386770437558752,LTR81A#LTR#Gypsy,LTR,Gypsy
MLT1C#LTR#ERVL-MaLR,-3.3943179,-0.19995585,0.0006879975709154964,0.03964786001694419,MLT1C#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1MC1#LINE#L1,-3.4499192,-0.28018647,0.0005607542468966791,0.03389143960512124,L1MC1#LINE#L1,LINE,L1
(AC)n#Simple_repeat#Simple_repeat,-3.4637082,-0.21560715,0.0005327841714049939,0.033005979418539375,(AC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
SVA_B#Retroposon#SVA,-3.6342852,-0.41619146,0.00027875249121790154,0.01817759666415684,SVA_B#Retroposon#SVA,Retroposon,SVA
MIRb#SINE#MIR,-3.671379,-0.11633613,0.00024124529731329308,0.01615691477682001,MIRb#SINE#MIR,SINE,MIR
AluSz#SINE#Alu,-3.7470076,-0.09385652,0.00017895658509049333,0.013042776995713014,AluSz#SINE#Alu,SINE,Alu
L1PA17#LINE#L1,-3.8265011,-0.4109938,0.00012997753361231255,0.009760131160342743,L1PA17#LINE#L1,LINE,L1
