names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
(T)n#Simple_repeat#Simple_repeat,23.616867,0.8204128,2.5863375383826758e-123,6.408944420112271e-120,(T)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(A)n#Simple_repeat#Simple_repeat,22.258818,0.7494953,9.265938080891016e-110,1.148049728222397e-106,(A)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1HS#LINE#L1,15.825558,0.7104715,2.0735374712731196e-56,1.2845564634536977e-53,L1HS#LINE#L1,LINE,L1
(AT)n#Simple_repeat#Simple_repeat,15.738917,0.6005108,8.183197910934185e-56,4.0555928846589826e-53,(AT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluJr#SINE#Alu,13.679196,0.38393313,1.3517889632006218e-42,5.5828884180185675e-40,AluJr#SINE#Alu,SINE,Alu
HAL1M8#LINE#L1,9.7563305,0.88577724,1.7331222814743207e-22,3.904251830448515e-20,HAL1M8#LINE#L1,LINE,L1
(TA)n#Simple_repeat#Simple_repeat,9.731179,0.50889635,2.220044516195346e-22,4.58439192594339e-20,(TA)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1PA10#LINE#L1,9.397803,0.55444616,5.571408775193713e-21,9.861393532092873e-19,L1PA10#LINE#L1,LINE,L1
(G)n#Simple_repeat#Simple_repeat,9.252104,0.22424234,2.201171995338955e-20,3.0302801135832944e-18,(G)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluYa8#SINE#Alu,9.088072,0.8713789,1.0081066186402039e-19,1.2490441004952128e-17,AluYa8#SINE#Alu,SINE,Alu
L1P4#LINE#L1,8.937597,0.56838745,3.9772437425120985e-19,4.479822724520445e-17,L1P4#LINE#L1,LINE,L1
AluYk3#SINE#Alu,8.30789,0.56450045,9.741852213361632e-17,8.940855475818565e-15,AluYk3#SINE#Alu,SINE,Alu
MLT1G3#LTR#ERVL-MaLR,8.254845,1.0227957,1.5209963498167034e-16,1.2996651568433761e-14,MLT1G3#LTR#ERVL-MaLR,LTR,ERVL-MaLR
AluYb9#SINE#Alu,8.032825,0.5809382,9.525308230204042e-16,7.867904598148539e-14,AluYb9#SINE#Alu,SINE,Alu
AluJr4#SINE#Alu,7.9138684,0.3419445,2.4951227001521217e-15,1.7592196218451978e-13,AluJr4#SINE#Alu,SINE,Alu
AluJo#SINE#Alu,7.887108,0.17202497,3.0927043768131332e-15,2.071276066417012e-13,AluJo#SINE#Alu,SINE,Alu
L1MA4A#LINE#L1,7.7429876,0.49866414,9.710737660675131e-15,6.015801980788244e-13,L1MA4A#LINE#L1,LINE,L1
LTR81A#LTR#Gypsy,7.115747,0.8143709,1.1130844808425852e-12,5.5164466870558526e-11,LTR81A#LTR#Gypsy,LTR,Gypsy
AluJb#SINE#Alu,6.822851,0.14633375,8.92509910563941e-12,4.095628811810085e-10,AluJb#SINE#Alu,SINE,Alu
L1MA9#LINE#L1,6.5779424,0.34083,4.7700226286220857e-11,2.1107350131652728e-09,L1MA9#LINE#L1,LINE,L1
LTR19A#LTR#ERV1,6.0633254,0.9501824,1.3333539323993386e-09,5.162579757008689e-08,LTR19A#LTR#ERV1,LTR,ERV1
AluSc8#SINE#Alu,5.9758244,0.16067089,2.2892947065042927e-09,8.727495819565595e-08,AluSc8#SINE#Alu,SINE,Alu
MLT1H1#LTR#ERVL-MaLR,5.844088,0.8884291,5.093512593628509e-09,1.856135912795801e-07,MLT1H1#LTR#ERVL-MaLR,LTR,ERVL-MaLR
HERV35I-int#LTR#ERV1,5.73584,0.93348885,9.7030238610595e-09,3.3864919898176675e-07,HERV35I-int#LTR#ERV1,LTR,ERV1
FAM#SINE#Alu,5.621059,0.3442304,1.8979045983732076e-08,6.531954992734456e-07,FAM#SINE#Alu,SINE,Alu
MER48#LTR#ERV1,5.48523,0.5753546,4.1293234801585474e-08,1.3463767873464315e-06,MER48#LTR#ERV1,LTR,ERV1
L1PA2#LINE#L1,5.2116537,0.2789246,1.8716447426741076e-07,5.521351990888617e-06,L1PA2#LINE#L1,LINE,L1
MamRep1527#LTR#LTR,5.198998,0.5427888,2.003655637292874e-07,5.773324033967142e-06,MamRep1527#LTR#LTR,LTR,LTR
L1MD#LINE#L1,5.064073,0.34180444,4.103920740019245e-07,1.1556267720190554e-05,L1MD#LINE#L1,LINE,L1
MLT1C#LTR#ERVL-MaLR,4.9744587,0.27439484,6.543028832783032e-07,1.7248537710251438e-05,MLT1C#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1MA6#LINE#L1,4.7594404,0.3987175,1.9413020310797962e-06,4.810546433015735e-05,L1MA6#LINE#L1,LINE,L1
L1PA17#LINE#L1,4.6338377,0.43716455,3.5894835991879443e-06,8.47118129408355e-05,L1PA17#LINE#L1,LINE,L1
(AAAG)n#Simple_repeat#Simple_repeat,4.5863776,0.56447643,4.510026017017456e-06,0.00010068328351503835,(AAAG)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
AluSx#SINE#Alu,4.581816,0.09704908,4.609544490049369e-06,0.0001019861718423423,AluSx#SINE#Alu,SINE,Alu
MER76#LTR#ERVL,4.5775495,0.8977768,4.70454688183972e-06,0.00010316696613450289,MER76#LTR#ERVL,LTR,ERVL
L1MA2#LINE#L1,4.566379,0.35924137,4.9622148998876326e-06,0.0001078628817712417,L1MA2#LINE#L1,LINE,L1
ERVL-int#LTR#ERVL,4.5554953,0.9247398,5.226229011967003e-06,0.0001126138738404716,ERVL-int#LTR#ERVL,LTR,ERVL
MLT1J#LTR#ERVL-MaLR,4.3587365,0.29882556,1.308154092383882e-05,0.0002635451903192894,MLT1J#LTR#ERVL-MaLR,LTR,ERVL-MaLR
MLT1J2#LTR#ERVL-MaLR,4.2927303,0.47022253,1.7648924881798854e-05,0.00034709552267537744,MLT1J2#LTR#ERVL-MaLR,LTR,ERVL-MaLR
AluYa5#SINE#Alu,4.265516,0.1666814,1.9944080504570547e-05,0.00038311187201802956,AluYa5#SINE#Alu,SINE,Alu
L1MA5A#LINE#L1,4.1564546,0.3195983,3.232244768922837e-05,0.0006069733317377473,L1MA5A#LINE#L1,LINE,L1
MER102c#DNA#hAT-Charlie,4.145211,0.5430562,3.3950038123443386e-05,0.0006325428155631031,MER102c#DNA#hAT-Charlie,DNA,hAT-Charlie
L1MC3#LINE#L1,3.8374631,0.26479444,0.00012431193228982184,0.002095544001456997,L1MC3#LINE#L1,LINE,L1
LTR37B#LTR#ERV1,3.828791,0.8270035,0.0001287742977541103,0.002156099390774901,LTR37B#LTR#ERV1,LTR,ERV1
L1P#LINE#L1,3.787381,1.0504953,0.00015224358817784157,0.0025150640766979427,L1P#LINE#L1,LINE,L1
L1PA4#LINE#L1,3.620593,0.21441719,0.00029392840029484696,0.004668939589298915,L1PA4#LINE#L1,LINE,L1
A-rich#Low_complexity#Low_complexity,3.4853232,0.11413292,0.0004915429482418463,0.007472659053639847,A-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
L1ME2z#LINE#L1,3.4559443,0.27877808,0.0005483686037865954,0.00828571585477551,L1ME2z#LINE#L1,LINE,L1
LTR16A2#LTR#ERVL,3.4169347,0.5383894,0.0006333047398543554,0.009397180511132293,LTR16A2#LTR#ERVL,LTR,ERVL
