names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
(ATTC)n#Simple_repeat#Simple_repeat,5.678725,1.4006495,1.3570257501574751e-08,8.40677452222556e-06,(ATTC)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
tRNA-Ser-TCA(m)#tRNA#tRNA,5.362472,1.3882447,8.20906583388674e-08,3.3903441893952234e-05,tRNA-Ser-TCA(m)#tRNA#tRNA,tRNA,tRNA
(GCT)n#Simple_repeat#Simple_repeat,3.6857371,1.4442037,0.0002280416414241279,0.04051558944858108,(GCT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
L1PA15#LINE#L1,-3.6847785,-0.68944895,0.00022890163530271798,0.04051558944858108,L1PA15#LINE#L1,LINE,L1
AluSx3#SINE#Alu,-3.7656581,-0.3327183,0.0001661110048225447,0.03430192249585547,AluSx3#SINE#Alu,SINE,Alu
(AT)n#Simple_repeat#Simple_repeat,-4.0439787,-0.42907313,5.2551709743346734e-05,0.011838466976728473,(AT)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
A-rich#Low_complexity#Low_complexity,-4.0954833,-0.3221618,4.212887176870923e-05,0.010439534424286148,A-rich#Low_complexity#Low_complexity,Low_complexity,Low_complexity
AluSx#SINE#Alu,-4.3142266,-0.27923238,1.6016274717482853e-05,0.004409814305546945,AluSx#SINE#Alu,SINE,Alu
AluJo#SINE#Alu,-4.8520074,-0.33777824,1.222180329747538e-06,0.0003785703571392999,AluJo#SINE#Alu,SINE,Alu
AluJb#SINE#Alu,-4.927801,-0.30314147,8.316019085301718e-07,0.00029438707561968083,AluJb#SINE#Alu,SINE,Alu
L1HS#LINE#L1,-5.633426,-0.73627317,1.766641157432776e-08,8.75547357623684e-06,L1HS#LINE#L1,LINE,L1
AluJr#SINE#Alu,-5.704356,-0.45246717,1.1678374408183543e-08,8.40677452222556e-06,AluJr#SINE#Alu,SINE,Alu
(T)n#Simple_repeat#Simple_repeat,-6.890102,-0.6710518,5.575238124440281e-12,6.9077200361815084e-09,(T)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
(A)n#Simple_repeat#Simple_repeat,-7.0815086,-0.6912605,1.42593495120399e-12,3.5334668090834875e-09,(A)n#Simple_repeat#Simple_repeat,Simple_repeat,Simple_repeat
