names,scores,logfoldchanges,pvals,pvals_adj,te_name,te_class,te_family
AluSq2#SINE#Alu,23.728199,1.0326319,1.8452456099704055e-124,4.572518621506665e-121,AluSq2#SINE#Alu,SINE,Alu
L1MC5a#LINE#L1,8.653555,0.68618387,4.9919761221550544e-18,6.185058415350113e-15,L1MC5a#LINE#L1,LINE,L1
MLT1D#LTR#ERVL-MaLR,7.0306892,0.8503465,2.055156968642587e-12,1.6975596560987766e-09,MLT1D#LTR#ERVL-MaLR,LTR,ERVL-MaLR
L1MB5#LINE#L1,5.5512977,0.41054252,2.835566968967432e-08,1.4053069898202593e-05,L1MB5#LINE#L1,LINE,L1
AmnSINE1#SINE#5S-Deu-L2,5.417946,0.543959,6.028759569845547e-08,2.4898777023462108e-05,AmnSINE1#SINE#5S-Deu-L2,SINE,5S-Deu-L2
AluSp#SINE#Alu,5.27287,0.22465527,1.3430679325090548e-07,4.2453788502352185e-05,AluSp#SINE#Alu,SINE,Alu
AluSq4#SINE#Alu,5.2691483,0.464146,1.370582356815244e-07,4.2453788502352185e-05,AluSq4#SINE#Alu,SINE,Alu
MIR3#SINE#MIR,5.1977296,0.2802017,2.017373800998405e-07,5.554502532082275e-05,MIR3#SINE#MIR,SINE,MIR
L1MC5#LINE#L1,5.16224,0.37914655,2.440119110317539e-07,6.046615155366862e-05,L1MC5#LINE#L1,LINE,L1
L3#LINE#CR1,4.976475,0.30024913,6.475265705283538e-07,0.00014587007652447825,L3#LINE#CR1,LINE,CR1
L2c#LINE#L2,4.8727813,0.21910183,1.1003794060814885e-06,0.00021683754172255665,L2c#LINE#L2,LINE,L2
AluYm1#SINE#Alu,4.866214,0.29227158,1.137565795961758e-06,0.00021683754172255665,AluYm1#SINE#Alu,SINE,Alu
AluYj4#SINE#Alu,4.790332,0.3243244,1.6650577021755288e-06,0.0002947152132850686,AluYj4#SINE#Alu,SINE,Alu
MamRTE1#LINE#RTE-BovB,4.7731013,0.44875354,1.8141044423749785e-06,0.00029969005388034645,MamRTE1#LINE#RTE-BovB,LINE,RTE-BovB
L1ME3G#LINE#L1,4.6945553,0.33514148,2.6718760893434627e-06,0.0004138068093370688,L1ME3G#LINE#L1,LINE,L1
L1ME4b#LINE#L1,4.560658,0.32155803,5.099355083410469e-06,0.0007020112164828412,L1ME4b#LINE#L1,LINE,L1
MER21C#LTR#ERVL,4.529804,0.75081503,5.903841307059661e-06,0.0007525042795430733,MER21C#LTR#ERVL,LTR,ERVL
Charlie1a#DNA#hAT-Charlie,4.4992037,0.36311093,6.820852543301225e-06,0.0008048606001095445,Charlie1a#DNA#hAT-Charlie,DNA,hAT-Charlie
L1ME3#LINE#L1,4.2929215,0.4333966,1.763373279719298e-05,0.0019861995396111003,L1ME3#LINE#L1,LINE,L1
